"lemma","synset","definition","lexicalform","verbforms","lemfreq"
"get","get.v.01","come into the possession of something concrete or abstract","verb.possession","['get', 'got', 'getting', 'gets', 'gotten', 'acquired', 'acquire', 'acquiring', 'acquires']",466984
"go","travel.v.01","change location; move, travel, or proceed, also metaphorically","verb.motion","['go', 'going', 'went', 'move', 'gone', 'goes', 'moving', 'moved', 'travel', 'moves', 'traveling', 'traveled', 'travels', 'travelling', 'travelled', 'gos', 'locomote']",376179
"know","know.v.01","be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about","verb.cognition","['know', 'knew', 'knows', 'known', 'knowing']",330615
"tell","state.v.01","express in words","verb.communication","['tell', 'say', 'said', 'told', 'says', 'saying', 'telling', 'tells', 'stated', 'stating']",305981
"come","come.v.01","move toward, travel toward something or somebody or approach something or somebody","verb.motion","['come', 'coming', 'came', 'comes']",221279
"think","think.v.01","judge or regard; look upon; judge","verb.cognition","['think', 'thought', 'thinking', 'thinks']",191218
"want","desire.v.01","feel or have a desire for; want strongly","verb.emotion","['want', 'wanted', 'wants', 'wanting', 'desired', 'desiring']",182767
"see","see.v.01","perceive by sight or have the power to perceive by sight","verb.perception","['see', 'seen', 'seeing', 'sees']",156179
"look","look.v.01","perceive with attention; direct one's gaze towards","verb.perception","['look', 'looking', 'looks', 'looked']",132458
"let","let.v.01","make it possible through a specific action or lack of action for something to happen","verb.social","['let', 'allowed', 'allow', 'letting', 'lets', 'allows', 'allowing']",130488
"need","necessitate.v.01","require as useful, just, or proper","verb.stative","['need', 'needs', 'needed', 'require', 'requires', 'required', 'needing', 'requiring', 'necessitating', 'necessitate', 'necessitated', 'necessitates']",77060
"mean","mean.v.01","mean or intend to express or convey","verb.communication","['mean', 'means', 'meant', 'meaned']",76251
"keep","keep.v.01","keep in a certain state, position, or activity; e.g., ""keep clean""","verb.stative","['keep', 'hold', 'kept', 'holding', 'keeps', 'keeping', 'held', 'holds', 'maintain', 'maintained', 'maintaining', 'maintains']",73124
"talk","talk.v.01","exchange thoughts; talk with","verb.communication","['talk', 'talking', 'talked', 'talks']",69219
"put","put.v.01","put into a certain place or abstract location","verb.contact","['put', 'set', 'putting', 'lay', 'laid', 'puts', 'setting', 'placed', 'laying', 'sets', 'lays', 'placing', 'puting']",63593
"call","name.v.01","assign a specified (usually proper) proper name to","verb.communication","['call', 'called', 'calling', 'named', 'naming']",62421
"thank","thank.v.01","express gratitude or show appreciation to","verb.communication","['thank', 'thanked', 'thanking']",57096
"try","try.v.01","make an effort or attempt","verb.social","['try', 'trying', 'tried', 'tries', 'attempting']",56296
"leave","leave.v.01","go away from a place","verb.motion","['leave', 'left', 'leaving', 'leaves', 'leaved']",55275
"wait","wait.v.01","stay in one place and anticipate or expect something","verb.stative","['wait', 'waiting', 'waited', 'waits']",53637
"happened","happen.v.01","come to pass","verb.change","['happened', 'happen', 'happens', 'happening', 'occurred', 'occur', 'occurs', 'occurring']",50362
"hear","hear.v.01","perceive (sound) via the auditory sense","verb.perception","['hear', 'heard', 'hearing', 'hears']",49594
"work","work.v.01","exert oneself by doing mental or physical work for a purpose or out of necessity","verb.social","['work', 'working', 'worked', 'works', 'wrought']",45760
"love","love.v.01","have a great affection or liking for","verb.emotion","['love', 'loved', 'loves', 'loving']",45539
"find","find.v.01","come upon, as if by accident; meet with","verb.possession","['find', 'finding', 'finds']",45475
"help","help.v.01","give help or assistance; be of service","verb.social","['help', 'helping', 'helped', 'helps', 'assist', 'assisting', 'assisted', 'aiding', 'aided', 'assists']",44077
"ask","ask.v.01","inquire about","verb.communication","['ask', 'asked', 'asking', 'asks', 'inquire', 'inquiring', 'inquired', 'enquire', 'enquiring', 'inquires', 'enquired', 'enquires']",42999
"kill","kill.v.01","cause to die; put to death, usually intentionally or knowingly","verb.contact","['kill', 'killed', 'killing', 'kills']",40633
"stop","stop.v.01","come to a halt, stop moving","verb.motion","['stop', 'stopped', 'stopping', 'stops', 'stoped']",39763
"feel","feel.v.01","undergo an emotional sensation or be in a particular state of mind","verb.emotion","['feel', 'feeling', 'feels']",38933
"start","get_down.v.07","take the first step or steps in carrying out an action","verb.change","['start', 'started', 'starting', 'begin', 'starts', 'began', 'begins', 'begun', 'commence', 'commencing', 'commenced', 'commences']",36733
"used","use.v.01","put into service; make work or employ for a particular purpose or for its inherent or natural purpose","verb.consumption","['used', 'use', 'using', 'uses', 'apply', 'applied', 'employed', 'applying', 'applies', 'employ', 'utilize', 'employs', 'utilized', 'utilizing', 'employing', 'utilised', 'utilise', 'utilising', 'utilizes']",36283
"believe","believe.v.01","accept as true; take to be true","verb.cognition","['believe', 'believed', 'believes', 'believing']",35050
"stay","stay.v.01","stay the same; remain in a certain state","verb.change","['stay', 'staying', 'remain', 'stayed', 'stays', 'remains', 'remained']",33622
"listen","listen.v.01","hear with intention","verb.perception","['listen', 'listening', 'listened', 'listens']",31546
"remember","remember.v.01","recall knowledge from memory; have a recollection","verb.cognition","['remember', 'remembered', 'recall', 'remembers', 'remembering', 'recalled', 'recollect', 'recalls', 'recalling', 'recollects', 'recollected']",30573
"bring","bring.v.01","take something or somebody with oneself somewhere","verb.motion","['bring', 'brought', 'bringing', 'brings', 'bringed']",29518
"run","run.v.01","move fast by using one's feet, with one foot off the ground at any given time","verb.motion","['run', 'running', 'ran', 'runs']",28221
"meet","meet.v.01","come together","verb.motion","['meet', 'met', 'meets', 'encountered', 'encountering']",28136
"understand","understand.v.01","know and comprehend the nature or meaning of","verb.cognition","['understand', 'understood', 'understands']",26734
"play","play.v.01","participate in games or sport","verb.competition","['play', 'playing', 'played', 'plays']",25992
"die","die.v.01","pass from physical life and lose all bodily attributes and functions necessary to sustain life","verb.change","['die', 'died', 'dying', 'dies', 'perish', 'croak', 'perished', 'croaked', 'croaks', 'croaking', 'perishing', 'dieing', 'perishes']",25290
"guess","think.v.02","expect, believe, or suppose","verb.cognition","['guess', 'reckon', 'guessing', 'guessed', 'reckoned', 'reckons']",23607
"lost","lose.v.01","fail to keep or to maintain; cease to have, either physically or in an abstract sense","verb.possession","['lost', 'lose', 'losing', 'loses']",23604
"live","populate.v.01","inhabit or live in; be an inhabitant of","verb.stative","['live', 'living', 'lived', 'inhabited', 'populated', 'inhabit', 'populate', 'inhabiting', 'inhabits', 'populating']",23259
"show","show.v.01","give an exhibition of to an interested audience","verb.perception","['show', 'showed', 'showing', 'shows', 'shown', 'presented', 'demonstrate', 'presenting', 'demonstrated', 'demonstrating', 'demonstrates']",22746
"sit","sit.v.01","be seated","verb.contact","['sit', 'sitting', 'sat', 'sits']",22298
"turn","turn.v.01","change orientation or direction, also in the abstract sense","verb.motion","['turn', 'turned', 'turns', 'turning']",22227
"found","establish.v.01","set up or found","verb.social","['found', 'launch', 'established', 'establish', 'launched', 'founded', 'launching', 'establishing', 'launches', 'establishes', 'founds']",21983
"forget","forget.v.01","dismiss from the mind; stop remembering","verb.cognition","['forget', 'forgot', 'forgotten', 'forgetting', 'forgets']",21602
"seems","look.v.02","give a certain impression or have a certain outward aspect","verb.perception","['seems', 'seem', 'seemed', 'appear', 'appears', 'appeared', 'appearing', 'seeming']",21336
"watch","watch.v.01","look attentively","verb.perception","['watch', 'watching', 'watched', 'watches']",20886
"saw","saw.v.01","cut with a saw","verb.contact","['saw', 'sawed', 'sawing', 'sawn']",20212
"pay","pay.v.01","give money, usually in exchange for goods or services","verb.possession","['pay', 'paid', 'paying', 'pays', 'payed']",18983
"eat","eat.v.01","take in solid food","verb.consumption","['eat', 'eating', 'ate', 'eaten', 'eats']",18701
"send","send.v.01","cause to go somewhere","verb.motion","['send', 'sent', 'sending', 'sends']",18545
"excuse","excuse.v.01","accept an excuse for","verb.communication","['excuse', 'excused', 'pardoned', 'excusing', 'pardoning']",17876
"hope","hope.v.01","expect and wish","verb.emotion","['hope', 'hoping', 'hoped']",17191
"fuck","sleep_together.v.01","have sexual intercourse with","verb.contact","['fuck', 'fucked', 'screw', 'screwed', 'screwing', 'fucks', 'screws', 'bonk', 'bonked', 'eff', 'bonking', 'effed']",17154
"break","interrupt.v.04","terminate","verb.change","['break', 'broke', 'broken', 'breaking', 'breaks']",17102
"shut","close.v.01","move so that an opening or passage is obstructed; make shut","verb.contact","['shut', 'closed', 'closing', 'closes', 'shutting', 'shuts', 'shuting']",17050
"speak","talk.v.02","express in speech","verb.communication","['speak', 'speaking', 'spoke', 'speaks', 'spoken', 'mouthing', 'mouthed']",16288
"buy","buy.v.01","obtain by purchase; acquire by means of a financial transaction","verb.possession","['buy', 'bought', 'buying', 'buys', 'purchased', 'purchasing']",16179
"stand","stand.v.01","be standing; be upright","verb.contact","['stand', 'standing', 'stood', 'stands']",15891
"care","care.v.01","feel concern or interest","verb.emotion","['care', 'cares', 'cared', 'caring']",15368
"change","change.v.01","cause to change; make different; cause a transformation","verb.change","['change', 'changed', 'changing', 'alter', 'altered', 'altering', 'alters']",15254
"walk","walk.v.01","use one's feet to advance; advance by steps","verb.motion","['walk', 'walking', 'walked', 'walks']",15226
"pick","pick.v.01","select carefully from a group","verb.cognition","['pick', 'picked', 'picking', 'picks']",15203
"check","check.v.01","examine so as to determine accuracy, quality, or condition","verb.cognition","['check', 'checked', 'checking']",15083
"read","read.v.01","interpret something that is written or printed","verb.cognition","['read', 'reading', 'reads']",14758
"write","write.v.01","produce a literary work","verb.creation","['write', 'wrote', 'written', 'writing', 'writes', 'penned', 'penning', 'indite']",14490
"hit","hit.v.01","cause to move by striking","verb.contact","['hit', 'hitting', 'hits']",14475
