Subject,Content,Character,Mention
s01,BuddyGarrity,BuddyGarrity,0
s01,BuddyGarrity,CoachTaylor,1
s01,BuddyGarrity,JasonStreet,0
s01,BuddyGarrity,JulieTaylor,0
s01,BuddyGarrity,LandryClarke,0
s01,BuddyGarrity,LylaGarrity,1
s01,BuddyGarrity,MattSaracen,0
s01,BuddyGarrity,SmashWilliams,0
s01,BuddyGarrity,TamiTaylor,0
s01,BuddyGarrity,TimRiggins,0
s01,BuddyGarrity,TyraCollette,0
s01,CoachTaylor,BuddyGarrity,0
s01,CoachTaylor,CoachTaylor,0
s01,CoachTaylor,JasonStreet,1
s01,CoachTaylor,JulieTaylor,1
s01,CoachTaylor,LandryClarke,0
s01,CoachTaylor,LylaGarrity,0
s01,CoachTaylor,MattSaracen,0
s01,CoachTaylor,SmashWilliams,0
s01,CoachTaylor,TamiTaylor,1
s01,CoachTaylor,TimRiggins,0
s01,CoachTaylor,TyraCollette,0
s01,JasonStreet,BuddyGarrity,0
s01,JasonStreet,CoachTaylor,0
s01,JasonStreet,JasonStreet,0
s01,JasonStreet,JulieTaylor,0
s01,JasonStreet,LandryClarke,0
s01,JasonStreet,LylaGarrity,1
s01,JasonStreet,MattSaracen,0
s01,JasonStreet,SmashWilliams,0
s01,JasonStreet,TamiTaylor,0
s01,JasonStreet,TimRiggins,0
s01,JasonStreet,TyraCollette,0
s01,JulieTaylor,BuddyGarrity,0
s01,JulieTaylor,CoachTaylor,1
s01,JulieTaylor,JasonStreet,0
s01,JulieTaylor,JulieTaylor,0
s01,JulieTaylor,LandryClarke,0
s01,JulieTaylor,LylaGarrity,0
s01,JulieTaylor,MattSaracen,0
s01,JulieTaylor,SmashWilliams,0
s01,JulieTaylor,TamiTaylor,0
s01,JulieTaylor,TimRiggins,0
s01,JulieTaylor,TyraCollette,0
s01,LandryClarke,BuddyGarrity,0
s01,LandryClarke,CoachTaylor,0
s01,LandryClarke,JasonStreet,0
s01,LandryClarke,JulieTaylor,0
s01,LandryClarke,LandryClarke,0
s01,LandryClarke,LylaGarrity,0
s01,LandryClarke,MattSaracen,1
s01,LandryClarke,SmashWilliams,0
s01,LandryClarke,TamiTaylor,0
s01,LandryClarke,TimRiggins,0
s01,LandryClarke,TyraCollette,0
s01,LylaGarrity,BuddyGarrity,0
s01,LylaGarrity,CoachTaylor,0
s01,LylaGarrity,JasonStreet,1
s01,LylaGarrity,JulieTaylor,0
s01,LylaGarrity,LandryClarke,0
s01,LylaGarrity,LylaGarrity,0
s01,LylaGarrity,MattSaracen,0
s01,LylaGarrity,SmashWilliams,0
s01,LylaGarrity,TamiTaylor,0
s01,LylaGarrity,TimRiggins,1
s01,LylaGarrity,TyraCollette,0
s01,MattSaracen,BuddyGarrity,0
s01,MattSaracen,CoachTaylor,0
s01,MattSaracen,JasonStreet,1
s01,MattSaracen,JulieTaylor,0
s01,MattSaracen,LandryClarke,0
