SID,character,dimension,rating
SID000120,BuddyGarrity,annoy,90
SID000120,CoachTaylor,annoy,17
SID000120,JasonStreet,annoy,20
SID000120,JulieTaylor,annoy,16
SID000120,LandryClarke,annoy,37
SID000120,LylaGarrity,annoy,56
SID000120,MattSaracen,annoy,5
SID000120,SmashWilliams,annoy,57
SID000120,TamiTaylor,annoy,6
SID000120,TimRiggins,annoy,62
SID000120,TyraCollette,annoy,42
SID000120,BuddyGarrity,appearance,20
SID000120,CoachTaylor,appearance,29
SID000120,JasonStreet,appearance,56
SID000120,JulieTaylor,appearance,68
SID000120,LandryClarke,appearance,37
SID000120,LylaGarrity,appearance,89
SID000120,MattSaracen,appearance,54
SID000120,SmashWilliams,appearance,77
SID000120,TamiTaylor,appearance,75
SID000120,TimRiggins,appearance,63
SID000120,TyraCollette,appearance,90
SID000120,BuddyGarrity,attractive,0
SID000120,CoachTaylor,attractive,79
SID000120,JasonStreet,attractive,83
SID000120,JulieTaylor,attractive,81
SID000120,LandryClarke,attractive,36
SID000120,LylaGarrity,attractive,94
SID000120,MattSaracen,attractive,80
SID000120,SmashWilliams,attractive,81
SID000120,TamiTaylor,attractive,54
SID000120,TimRiggins,attractive,100
SID000120,TyraCollette,attractive,68
SID000120,BuddyGarrity,brag,70
SID000120,CoachTaylor,brag,10
SID000120,JasonStreet,brag,10
SID000120,JulieTaylor,brag,28
SID000120,LandryClarke,brag,56
SID000120,LylaGarrity,brag,41
SID000120,MattSaracen,brag,24
SID000120,SmashWilliams,brag,62
SID000120,TamiTaylor,brag,21
SID000120,TimRiggins,brag,22
SID000120,TyraCollette,brag,44
SID000120,BuddyGarrity,charismatic,64
SID000120,CoachTaylor,charismatic,81
SID000120,JasonStreet,charismatic,80
SID000120,JulieTaylor,charismatic,44
SID000120,LandryClarke,charismatic,55
SID000120,LylaGarrity,charismatic,79
SID000120,MattSaracen,charismatic,14
SID000120,SmashWilliams,charismatic,99
SID000120,TamiTaylor,charismatic,43
SID000120,TimRiggins,charismatic,33
SID000120,TyraCollette,charismatic,48
SID000120,BuddyGarrity,empathy,31
SID000120,CoachTaylor,empathy,98
SID000120,JasonStreet,empathy,88
SID000120,JulieTaylor,empathy,77
SID000120,LandryClarke,empathy,46
SID000120,LylaGarrity,empathy,81
SID000120,MattSaracen,empathy,71
SID000120,SmashWilliams,empathy,40
SID000120,TamiTaylor,empathy,97
SID000120,TimRiggins,empathy,35
SID000120,TyraCollette,empathy,75
SID000120,BuddyGarrity,funny,9
SID000120,CoachTaylor,funny,59
SID000120,JasonStreet,funny,18
SID000120,JulieTaylor,funny,37
SID000120,LandryClarke,funny,69
SID000120,LylaGarrity,funny,31
SID000120,MattSaracen,funny,28
SID000120,SmashWilliams,funny,72
SID000120,TamiTaylor,funny,57
SID000120,TimRiggins,funny,8
SID000120,TyraCollette,funny,21
SID000120,BuddyGarrity,hardworking,54
SID000120,CoachTaylor,hardworking,100
SID000120,JasonStreet,hardworking,95
SID000120,JulieTaylor,hardworking,60
SID000120,LandryClarke,hardworking,33
SID000120,LylaGarrity,hardworking,67
SID000120,MattSaracen,hardworking,95
SID000120,SmashWilliams,hardworking,63
SID000120,TamiTaylor,hardworking,98
SID000120,TimRiggins,hardworking,29
SID000120,TyraCollette,hardworking,39
SID000120,BuddyGarrity,impulsive,37
SID000120,CoachTaylor,impulsive,64
SID000120,JasonStreet,impulsive,26
SID000120,JulieTaylor,impulsive,21
SID000120,LandryClarke,impulsive,69
SID000120,LylaGarrity,impulsive,57
SID000120,MattSaracen,impulsive,20
SID000120,SmashWilliams,impulsive,71
SID000120,TamiTaylor,impulsive,29
SID000120,TimRiggins,impulsive,96
SID000120,TyraCollette,impulsive,60
SID000120,BuddyGarrity,independent,81
SID000120,CoachTaylor,independent,75
SID000120,JasonStreet,independent,75
SID000120,JulieTaylor,independent,71
SID000120,LandryClarke,independent,71
SID000120,LylaGarrity,independent,64
SID000120,MattSaracen,independent,92
SID000120,SmashWilliams,independent,76
SID000120,TamiTaylor,independent,92
SID000120,TimRiggins,independent,76
SID000120,TyraCollette,independent,81
SID000120,BuddyGarrity,intelligent,31
SID000120,CoachTaylor,intelligent,91
SID000120,JasonStreet,intelligent,79
SID000120,JulieTaylor,intelligent,86
SID000120,LandryClarke,intelligent,21
SID000120,LylaGarrity,intelligent,76
SID000120,MattSaracen,intelligent,62
SID000120,SmashWilliams,intelligent,64
SID000120,TamiTaylor,intelligent,75
SID000120,TimRiggins,intelligent,81
SID000120,TyraCollette,intelligent,80
SID000120,BuddyGarrity,outgoing,67
SID000120,CoachTaylor,outgoing,61
SID000120,JasonStreet,outgoing,67
SID000120,JulieTaylor,outgoing,37
SID000120,LandryClarke,outgoing,84
SID000120,LylaGarrity,outgoing,72
SID000120,MattSaracen,outgoing,19
SID000120,SmashWilliams,outgoing,100
SID000120,TamiTaylor,outgoing,58
SID000120,TimRiggins,outgoing,45
SID000120,TyraCollette,outgoing,68
SID000120,BuddyGarrity,romantic,3
SID000120,CoachTaylor,romantic,74
SID000120,JasonStreet,romantic,84
SID000120,JulieTaylor,romantic,15
SID000120,LandryClarke,romantic,39
SID000120,LylaGarrity,romantic,96
SID000120,MattSaracen,romantic,70
SID000120,SmashWilliams,romantic,58
SID000120,TamiTaylor,romantic,74
SID000120,TimRiggins,romantic,70
SID000120,TyraCollette,romantic,87
SID000120,BuddyGarrity,stubborn,83
SID000120,CoachTaylor,stubborn,75
SID000120,JasonStreet,stubborn,13
SID000120,JulieTaylor,stubborn,55
SID000120,LandryClarke,stubborn,55
SID000120,LylaGarrity,stubborn,60
SID000120,MattSaracen,stubborn,13
SID000120,SmashWilliams,stubborn,77
SID000120,TamiTaylor,stubborn,62
SID000120,TimRiggins,stubborn,97
SID000120,TyraCollette,stubborn,42
SID000120,BuddyGarrity,trustworthy,31
SID000120,CoachTaylor,trustworthy,96
SID000120,JasonStreet,trustworthy,100
SID000120,JulieTaylor,trustworthy,66
SID000120,LandryClarke,trustworthy,68
SID000120,LylaGarrity,trustworthy,66
SID000120,MattSaracen,trustworthy,96
SID000120,SmashWilliams,trustworthy,42
SID000120,TamiTaylor,trustworthy,77
SID000120,TimRiggins,trustworthy,24
SID000120,TyraCollette,trustworthy,28
SID000791,BuddyGarrity,annoy,79
SID000791,CoachTaylor,annoy,18
SID000791,JasonStreet,annoy,26
SID000791,JulieTaylor,annoy,15
SID000791,LandryClarke,annoy,28
SID000791,LylaGarrity,annoy,41
SID000791,MattSaracen,annoy,12
SID000791,SmashWilliams,annoy,55
SID000791,TamiTaylor,annoy,3
SID000791,TimRiggins,annoy,60
SID000791,TyraCollette,annoy,29
SID000791,BuddyGarrity,appearance,31
SID000791,CoachTaylor,appearance,50
SID000791,JasonStreet,appearance,50
SID000791,JulieTaylor,appearance,55
SID000791,LandryClarke,appearance,50
SID000791,LylaGarrity,appearance,69
SID000791,MattSaracen,appearance,50
