SID,Cue,Character,Category,Recall
SID000120,Attractive,BuddyGarrity,Trait,0
SID000120,Attractive,CoachTaylor,Trait,8
SID000120,Attractive,JasonStreet,Trait,3
SID000120,Attractive,JulieTaylor,Trait,5
SID000120,Attractive,LandryClarke,Trait,0
SID000120,Attractive,LylaGarrity,Trait,2
SID000120,Attractive,MattSaracen,Trait,6
SID000120,Attractive,SmashWilliams,Trait,5
SID000120,Attractive,TamiTaylor,Trait,9
SID000120,Attractive,TimRiggins,Trait,1
SID000120,Attractive,TyraCollette,Trait,7
SID000120,BuddyGarrity,BuddyGarrity,Character,0
SID000120,BuddyGarrity,CoachTaylor,Character,1
SID000120,BuddyGarrity,JasonStreet,Character,0
SID000120,BuddyGarrity,JulieTaylor,Character,0
SID000120,BuddyGarrity,LandryClarke,Character,0
SID000120,BuddyGarrity,LylaGarrity,Character,2
SID000120,BuddyGarrity,MattSaracen,Character,0
SID000120,BuddyGarrity,SmashWilliams,Character,0
SID000120,BuddyGarrity,TamiTaylor,Character,3
SID000120,BuddyGarrity,TimRiggins,Character,0
SID000120,BuddyGarrity,TyraCollette,Character,0
SID000120,CasuallyHangout,BuddyGarrity,Action,0
SID000120,CasuallyHangout,CoachTaylor,Action,0
SID000120,CasuallyHangout,JasonStreet,Action,0
SID000120,CasuallyHangout,JulieTaylor,Action,0
SID000120,CasuallyHangout,LandryClarke,Action,2
SID000120,CasuallyHangout,LylaGarrity,Action,0
SID000120,CasuallyHangout,MattSaracen,Action,1
SID000120,CasuallyHangout,SmashWilliams,Action,3
SID000120,CasuallyHangout,TamiTaylor,Action,0
SID000120,CasuallyHangout,TimRiggins,Action,0
SID000120,CasuallyHangout,TyraCollette,Action,4
SID000120,CoachTaylor,BuddyGarrity,Character,7
SID000120,CoachTaylor,CoachTaylor,Character,0
SID000120,CoachTaylor,JasonStreet,Character,3
SID000120,CoachTaylor,JulieTaylor,Character,2
SID000120,CoachTaylor,LandryClarke,Character,0
SID000120,CoachTaylor,LylaGarrity,Character,0
SID000120,CoachTaylor,MattSaracen,Character,4
SID000120,CoachTaylor,SmashWilliams,Character,6
SID000120,CoachTaylor,TamiTaylor,Character,1
SID000120,CoachTaylor,TimRiggins,Character,5
SID000120,CoachTaylor,TyraCollette,Character,0
SID000120,Diner,BuddyGarrity,Place,0
SID000120,Diner,CoachTaylor,Place,0
SID000120,Diner,JasonStreet,Place,3
SID000120,Diner,JulieTaylor,Place,6
SID000120,Diner,LandryClarke,Place,8
SID000120,Diner,LylaGarrity,Place,4
SID000120,Diner,MattSaracen,Place,7
SID000120,Diner,SmashWilliams,Place,1
SID000120,Diner,TamiTaylor,Place,0
SID000120,Diner,TimRiggins,Place,2
SID000120,Diner,TyraCollette,Place,5
SID000120,Ethical,BuddyGarrity,Trait,0
SID000120,Ethical,CoachTaylor,Trait,1
SID000120,Ethical,JasonStreet,Trait,0
SID000120,Ethical,JulieTaylor,Trait,4
SID000120,Ethical,LandryClarke,Trait,0
SID000120,Ethical,LylaGarrity,Trait,0
SID000120,Ethical,MattSaracen,Trait,2
SID000120,Ethical,SmashWilliams,Trait,0
SID000120,Ethical,TamiTaylor,Trait,3
SID000120,Ethical,TimRiggins,Trait,0
SID000120,Ethical,TyraCollette,Trait,0
SID000120,FightArgue,BuddyGarrity,Action,8
SID000120,FightArgue,CoachTaylor,Action,6
SID000120,FightArgue,JasonStreet,Action,4
SID000120,FightArgue,JulieTaylor,Action,7
SID000120,FightArgue,LandryClarke,Action,0
SID000120,FightArgue,LylaGarrity,Action,3
SID000120,FightArgue,MattSaracen,Action,0
SID000120,FightArgue,SmashWilliams,Action,0
SID000120,FightArgue,TamiTaylor,Action,5
SID000120,FightArgue,TimRiggins,Action,2
SID000120,FightArgue,TyraCollette,Action,1
SID000120,Flirt,BuddyGarrity,Action,0
SID000120,Flirt,CoachTaylor,Action,0
SID000120,Flirt,JasonStreet,Action,7
SID000120,Flirt,JulieTaylor,Action,4
SID000120,Flirt,LandryClarke,Action,0
SID000120,Flirt,LylaGarrity,Action,6
SID000120,Flirt,MattSaracen,Action,5
SID000120,Flirt,SmashWilliams,Action,3
SID000120,Flirt,TamiTaylor,Action,0
SID000120,Flirt,TimRiggins,Action,2
SID000120,Flirt,TyraCollette,Action,1
SID000120,FootballStadium,BuddyGarrity,Place,2
SID000120,FootballStadium,CoachTaylor,Place,1
SID000120,FootballStadium,JasonStreet,Place,3
SID000120,FootballStadium,JulieTaylor,Place,0
SID000120,FootballStadium,LandryClarke,Place,0
SID000120,FootballStadium,LylaGarrity,Place,6
SID000120,FootballStadium,MattSaracen,Place,7
SID000120,FootballStadium,SmashWilliams,Place,4
SID000120,FootballStadium,TamiTaylor,Place,0
SID000120,FootballStadium,TimRiggins,Place,5
SID000120,FootballStadium,TyraCollette,Place,0
SID000120,Gossip,BuddyGarrity,Action,0
SID000120,Gossip,CoachTaylor,Action,0
SID000120,Gossip,JasonStreet,Action,0
SID000120,Gossip,JulieTaylor,Action,0
SID000120,Gossip,LandryClarke,Action,0
SID000120,Gossip,LylaGarrity,Action,1
SID000120,Gossip,MattSaracen,Action,0
SID000120,Gossip,SmashWilliams,Action,0
SID000120,Gossip,TamiTaylor,Action,3
SID000120,Gossip,TimRiggins,Action,2
SID000120,Gossip,TyraCollette,Action,0
SID000120,Hardworking,BuddyGarrity,Trait,0
SID000120,Hardworking,CoachTaylor,Trait,3
