Subject,Character,Text
SID000120,BuddyGarrity,"Buddy Garrity is the father of Lyla Garrity who is an essential character of the show um so Buddy Garrity's character really is ((much; around 0:14)) in the context of Lyla. He's, he's bored. He seems really to actually exist just to make Coach Taylor's life harder. Um, so, he's like he's this red-face grey haired white dude who knows, or thinks he knows way better than anybody else, about football. So sort of and it seems as though he must have some kind of stake in this football team that you know forces Coach Taylor to listen to him, but i- i must have missed what that is um becuase he know he takes a lot of liberaty on the football field sort of bring the other quraterback in but coach taylor isn't really sure if he wants to bring the other quarterback in and sort of just like talking to coach taylor and telling him how to run his team and and coach taylor sort of has to feel this uh this sort of like arrogance and confidence in this guy and deal you know deal with it even though he doesnt necessarily always agree with what the guy is saying. He also has serveal monologues where he just talks about you know how nobody cares like everybody wants to see the team win you know he's one of the main fresher points i think for coach taylor as well because you know he's just like nobody like this this town needs needs a win um when you know in reality winning a football game is only slightly off for chance uh (1:48) so uh just a lot of pressure and uh seems like he's a little more (Promised?) than he needs to be uh a little bit more--"
SID000120,CoachTaylor,"Okay so Coach taylor is the head coach of the Dillion high school football team. He's generally pretty light  guy. He has like a nice low  to his voice that makes you trust him . He is it's his first year as head coach of the football team and he's honestly beautifully handling  the difficulties you know with Jason Street being paralyzed and its terrible . And having to mostly having to deal with the differing expectations  of all kinds of people I mean everyone wants...everyone wants him to win so that's a huge amount of pressure but in addition everybody has a different idea about how he should go about coaching such that he makes the team win. And this is...this is sort of additional  because...because he has to sort of manage all these different peoples opinions you know while still being true to himself and not upsetting anybody and so all of this sort of doubt  is you know him him being a ilttle bit forgetful of extraneous things in his life  such as his family, you know he he tends to put a lot of stress on his wife and be a little bit neglectful of his daughter as a result of this but he also cares a whole lot about the team and you know puts a lot of time into hyou know coaching to the best of his ability and often this is very frustrating because you know when the team doesn't win it doesn't matter as if so he's put in no effort in at all like in the eyes of the people watching the coach ..."
SID000120,JasonStreet,So Jason Street is was the QB1 for this football team he's a senior in high school he's kind of like he's like the the most popular kid like everybody loves him he's also somehow like the most popular person and also like a really good person like goes to church and you know has this girlfriend that he's in love with and honestly is so perfect in fact at the beginning of the movie that you wonder either what you're gonna find out thats wrong about him or what's going to happen to him and so he is in an accident in the first football game of his senior year where he becomes paralyzed from the waist down and you know this this is sort of like his this is what sort of what you see almost from the very beginning is how he how he feels when this this horrible trauma that has occured and so you know you see him kind of at first being this you know being really good natured about it  being optimistic and slowly as time goes on he sort of realizes whats whats going on and whats happened to him he becomes more and more sort of dark and less less pure I guess. You know and I think a lot of this is really its really nice to sort of see him transform in this way and sort of realize that like no not everything in life is planned and I think that some of that sort of like motivates him to start trying to you know improve and try to walk again
SID000120,JulieTaylor,so she is the daughter of... Coach Taylor and she is... she seems to one see herself separate from... it seems like she's in different social circles... football team... problems for her dad... very mature way to behave. She seems very mature in general. She likes to dance and it seems as though she does respect her dad a lot and what her dad does but at times she and her dad have a sort of strange relationship because there's so much time... you know she...
SID000120,LandryClarke,okay so Landry is a sort of a side character in the show he has blonde hair and blonde eyebrows which is very rare. He's the best friend of Matt Saracen who's a more central character in the show. So Landry is kind of a goofball which is nice juxataposition for Matt. He says a lot of things that don't make a whole lot of sense and I think Matt knows this but listens to him anyway sometimes which is which is kinda funny. Yeah and Landry seems to have an eye for females and yeah that is basically it. He's not a huge character in the show so you really only see him when he's hanging out with Matt Saracen and taking him off whatever task he's currently focused on. Although it does seem as though he is a you know nice support for Matt because he drives him places and I think it's nice for Matt who has you know a lot on his plate to get some sort of relief from time to time and spend some time with Landry just kind of seeing a kid  which is what he is and so yeah so he's sort of nice for Matt in that way but most of the scenes he appears in he's he's sort of a comic relief type character. Generally likeable but not a whole lot about him like his inner life .
SID000120,LylaGarrity,Lyla Garrity  ...and she is the type of person who seems to have plans in her life ... she wants to marry Jason and knows where to go to college  and she goes to church... and after Jason's injury it took her for a loop to the point where he's almost in denia at first that this even happened. She talks to Jason about how he's going to get better even though he's looking more and more like he'll never walk again because she is unable to give up the control that she has  over her own life like planning out every last  ...is going to happen to her and so she and Jason... he tries to drill into her head that he will not walk again and this throws her for a loop and she goes and cheats on him with Tim and there's sort of this sort of difficulty for her in giving up the life she's planned for herself and when she is sort of able to give that up in her mind  opposite direction and doesn't know what to do with herself so at this point kind of a limbo.
SID000120,MattSaracen,"Matt Saracen was a  Jason Street and he was a quarterback for the football team but because of Jason's injury he has been promoted to QB1 and so thats a sort of huge amount of pressure on him because he's actually not very good at  as it turns out and he's also juggling... pretty large things in his personal life so for example his grandmother is struggling with dementia and he's also the man of the house because his father is in Iraq sort of juggling you know taking care of his grandma taking care of the house earning money at his job putting his school work and now being QB1. It takes a, it's taking a lot of time and pressure for him to you know he's still a sophomore in high school and so what's becoming more evident is that  there's so much time doing and thinking how and doing things for other people that he hasn't really taken a whole lot of time for what he wants and doesn't really know who he is or how to express himself because  not occupied on that they're occupied on you know being you know being there for his grandmother and being there for other people and working his job and things like that so so he comes across often...... I don't think that's actually the case..."
SID000120,SmashWilliams,So Smash is one of the members of the football team. He is a kid in high school and one of the starters...popular in high school...and he's very out-spoken and he really like... for whatever reason... and he really enjoys...Tim Riggins girlfriend and yeah generally... loud football player but...
SID000120,TamiTaylor,Tami Taylor is let's see she is the wife of Coach Taylor and is forced to ...Coach Taylor...pressure...every single time. She picks up a job...she is the keeper of the house... goes to parties... she and all of this you know love for this man... so much pressure on her.. and it's very impressive and you know sometimes... she doesn't get upset at him as she should so you kind of wonder when she or coach taylor... he sort of is putting all this on her and she is accepting it and he does realize that he's putting a lot of stress on their marriage... and you know. She is also sort of like put under the same type of pressure as Coach Taylor you know but from the females around that she has to deal with from her daughter's friends and things like that and... all of these pressures that she's dealing with and she doesn't really...
SID000120,TimRiggins,Tim Riggins is another senior starter on the high school football team. He's sort of like... you know whole broody behavior  but in reality is due to some of the problems in his family life from what you can tell from the show he has a brother  doesn't really have any parents and so it really makes you wonder what kind of home or what kind of family issues he's been dealing with. He drinks a lot which also portrays this inner crisis that he doesn't really like speaking about openly and that seems  it could lead to a lot of big problems... and sort of inability to communicate to like anyone... and so so he I think it's clear as the show progresses that he's  with guilt that he caused Jason Street's injury because you know Jason got the injury on his side of the football field I think but I don't really understand football but that seems... and you know... supposed to be... Jason Street becoming injured but he can't  to anyone you know instead deals with it by not going to visit Jason in the hospital which ends up getting more  than it should because he's his best friend and Jason misses him and so he also you know it also leads to him breaking up with his girlfriend and you know a whole bunch of other bad thing...
